#           k/h    P           
   0.176766E+01   0.885825E-08
   0.180337E+01   0.788277E-08
   0.183980E+01   0.692980E-08
   0.187697E+01   0.595296E-08
   0.191489E+01   0.485658E-08
   0.195357E+01   0.370256E-08
   0.199304E+01   0.294048E-08
   0.203330E+01   0.283001E-08
   0.207437E+01   0.284582E-08
   0.211628E+01   0.196581E-08
   0.215903E+01   0.906467E-09
   0.220265E+01   0.558456E-09
   0.224714E+01   0.731446E-09
   0.229254E+01   0.103436E-08
   0.233885E+01   0.692998E-09
   0.238610E+01   0.261460E-09
   0.243430E+01   0.106787E-09
   0.248348E+01   0.745739E-10
   0.253365E+01   0.115218E-09
   0.258483E+01   0.271599E-09
   0.263705E+01   0.205662E-09
   0.269032E+01   0.190721E-10
   0.274466E+01   0.150276E-11
   0.280011E+01   0.105450E-11
   0.285668E+01   0.443429E-11
   0.291439E+01   0.186036E-10
   0.297326E+01   0.292867E-10
   0.303332E+01   0.152408E-10
   0.309460E+01   0.347018E-11
   0.315712E+01   0.964583E-12
   0.322090E+01   0.778439E-12
   0.328596E+01   0.149945E-11
   0.335234E+01   0.399377E-11
   0.342006E+01   0.448083E-11
   0.348916E+01   0.491326E-12
   0.355964E+01   0.110837E-13
   0.363155E+01   0.117716E-14
   0.370491E+01   0.313879E-14
   0.377976E+01   0.379686E-13
   0.385611E+01   0.328510E-12
   0.393401E+01   0.125816E-11
   0.401348E+01   0.197148E-11
   0.409456E+01   0.134705E-11
   0.417727E+01   0.466964E-12
   0.426166E+01   0.109152E-12
   0.434775E+01   0.265850E-13
   0.443558E+01   0.950760E-14
   0.452519E+01   0.559566E-14
   0.461660E+01   0.558356E-14
   0.470987E+01   0.755162E-14
   0.480501E+01   0.996452E-14
   0.490208E+01   0.675246E-14
   0.500111E+01   0.106509E-14
   0.510214E+01   0.773683E-16
   0.520521E+01   0.304866E-16
   0.531036E+01   0.195387E-15
   0.541763E+01   0.171935E-14
   0.552708E+01   0.198066E-14
   0.563873E+01   0.814405E-15
   0.575264E+01   0.845401E-15
   0.586885E+01   0.361568E-14
   0.598741E+01   0.393047E-13
   0.610836E+01   0.432958E-12
   0.623176E+01   0.112756E-11
   0.635765E+01   0.377437E-12
   0.648609E+01   0.849881E-13
   0.661711E+01   0.695861E-13
   0.675079E+01   0.186208E-12
   0.688716E+01   0.769593E-12
   0.702629E+01   0.158288E-11
   0.716823E+01   0.415533E-12
   0.731304E+01   0.173729E-13
   0.746077E+01   0.123752E-14
   0.761149E+01   0.810450E-15
   0.776525E+01   0.267332E-14
   0.792212E+01   0.165853E-13
   0.808217E+01   0.738892E-13
   0.824543E+01   0.993310E-13
   0.841200E+01   0.575283E-13
   0.858193E+01   0.492385E-13
   0.875530E+01   0.789716E-13
   0.893217E+01   0.702645E-13
   0.911261E+01   0.181132E-13
   0.929670E+01   0.509476E-14
   0.948451E+01   0.633938E-14
