#           k/h    P           
   0.303332E+01   0.498030E-13
   0.309460E+01   0.581973E-14
   0.315712E+01   0.589468E-15
   0.322090E+01   0.819127E-15
   0.328596E+01   0.514207E-14
   0.335234E+01   0.556563E-14
   0.342006E+01   0.699450E-15
   0.348916E+01   0.176390E-15
   0.355964E+01   0.450792E-15
   0.363155E+01   0.274221E-14
   0.370491E+01   0.786487E-14
   0.377976E+01   0.612253E-14
   0.385611E+01   0.112637E-14
   0.393401E+01   0.129906E-15
   0.401348E+01   0.450381E-16
   0.409456E+01   0.590200E-16
   0.417727E+01   0.830351E-16
   0.426166E+01   0.620882E-16
   0.434775E+01   0.478403E-16
   0.443558E+01   0.748778E-16
   0.452519E+01   0.228522E-15
   0.461660E+01   0.107220E-14
   0.470987E+01   0.633801E-14
   0.480501E+01   0.391198E-13
   0.490208E+01   0.156295E-12
   0.500111E+01   0.183027E-12
   0.510214E+01   0.519451E-13
   0.520521E+01   0.110085E-13
   0.531036E+01   0.490504E-14
   0.541763E+01   0.414874E-14
   0.552708E+01   0.463712E-14
   0.563873E+01   0.792141E-14
   0.575264E+01   0.308315E-13
   0.586885E+01   0.183684E-12
   0.598741E+01   0.476411E-12
   0.610836E+01   0.281847E-12
   0.623176E+01   0.785682E-13
   0.635765E+01   0.236611E-13
   0.648609E+01   0.131092E-13
   0.661711E+01   0.191275E-13
   0.675079E+01   0.435153E-13
   0.688716E+01   0.579685E-13
   0.702629E+01   0.388064E-13
   0.716823E+01   0.270956E-13
   0.731304E+01   0.279485E-13
   0.746077E+01   0.250244E-13
   0.761149E+01   0.130116E-13
   0.776525E+01   0.728556E-14
   0.792212E+01   0.947272E-14
   0.808217E+01   0.199173E-13
   0.824543E+01   0.261088E-13
   0.841200E+01   0.150655E-13
   0.858193E+01   0.514347E-14
   0.875530E+01   0.167539E-14
   0.893217E+01   0.114393E-14
   0.911261E+01   0.238028E-14
   0.929670E+01   0.329688E-14
   0.948451E+01   0.568220E-15
   0.967610E+01   0.527439E-16
   0.987158E+01   0.542868E-16
   0.100710E+02   0.546533E-15
   0.102744E+02   0.180157E-14
   0.104820E+02   0.449115E-15
   0.106938E+02   0.129879E-15
   0.109098E+02   0.379120E-15
   0.111302E+02   0.115131E-14
   0.113550E+02   0.196612E-15
   0.115844E+02   0.956538E-17
   0.118184E+02   0.636016E-17
   0.120572E+02   0.629605E-16
   0.123007E+02   0.208121E-15
   0.125492E+02   0.448715E-16
   0.128027E+02   0.128840E-16
   0.130614E+02   0.563332E-16
   0.133252E+02   0.427768E-15
   0.135944E+02   0.300890E-15
   0.138691E+02   0.417414E-16
   0.141492E+02   0.154195E-16
   0.144351E+02   0.314098E-16
   0.147267E+02   0.107920E-15
   0.150242E+02   0.192219E-15
   0.153277E+02   0.650139E-16
   0.156373E+02   0.314108E-17
   0.159532E+02   0.271449E-18
   0.162755E+02   0.659248E-18
   0.166043E+02   0.107386E-16
   0.169397E+02   0.365192E-16
   0.172819E+02   0.131733E-16
   0.176310E+02   0.420022E-17
   0.179872E+02   0.401553E-17
   0.183505E+02   0.543714E-17
   0.187212E+02   0.460413E-17
   0.190994E+02   0.201133E-17
   0.194853E+02   0.482029E-18
   0.198789E+02   0.157784E-18
   0.202805E+02   0.257203E-18
   0.206902E+02   0.241996E-17
