#           k/h    P           
   0.111302E+02   0.738600E-05
   0.113550E+02   0.700870E-05
   0.115844E+02   0.665046E-05
   0.118184E+02   0.631034E-05
   0.120572E+02   0.598742E-05
   0.123007E+02   0.568085E-05
   0.125492E+02   0.538981E-05
   0.128027E+02   0.511352E-05
   0.130614E+02   0.485125E-05
   0.133252E+02   0.460229E-05
   0.135944E+02   0.436598E-05
   0.138691E+02   0.414168E-05
   0.141492E+02   0.392878E-05
   0.144351E+02   0.372672E-05
   0.147267E+02   0.353495E-05
   0.150242E+02   0.335294E-05
   0.153277E+02   0.318022E-05
   0.156373E+02   0.301631E-05
   0.159532E+02   0.286076E-05
   0.162755E+02   0.271316E-05
   0.166043E+02   0.257311E-05
   0.169397E+02   0.244021E-05
   0.172819E+02   0.231411E-05
   0.176310E+02   0.219447E-05
   0.179872E+02   0.208096E-05
   0.183505E+02   0.197327E-05
   0.187212E+02   0.187110E-05
   0.190994E+02   0.177417E-05
   0.194853E+02   0.168222E-05
   0.198789E+02   0.159499E-05
   0.202805E+02   0.151224E-05
   0.206902E+02   0.143375E-05
   0.211081E+02   0.135930E-05
   0.215346E+02   0.128868E-05
   0.219696E+02   0.122170E-05
   0.224134E+02   0.115817E-05
   0.228662E+02   0.109791E-05
   0.233281E+02   0.104077E-05
   0.237994E+02   0.986573E-06
   0.242802E+02   0.935177E-06
   0.247707E+02   0.886435E-06
   0.252710E+02   0.840214E-06
   0.257816E+02   0.796383E-06
   0.263024E+02   0.754821E-06
   0.268337E+02   0.715410E-06
   0.273758E+02   0.678041E-06
   0.279288E+02   0.642608E-06
   0.284930E+02   0.609012E-06
   0.290686E+02   0.577159E-06
   0.296558E+02   0.546960E-06
   0.302549E+02   0.518328E-06
   0.308661E+02   0.491184E-06
   0.314897E+02   0.465450E-06
   0.321258E+02   0.441055E-06
   0.327748E+02   0.417929E-06
   0.334369E+02   0.396006E-06
   0.341123E+02   0.375225E-06
   0.348014E+02   0.355526E-06
   0.355045E+02   0.336854E-06
   0.362217E+02   0.319156E-06
   0.369535E+02   0.302381E-06
   0.377000E+02   0.286479E-06
   0.384616E+02   0.271410E-06
