#    L    TT             EE             TE          
   360   0.258276E+04   0.190434E+02   0.949427E+02
   361   0.255656E+04   0.191990E+02   0.934741E+02
   362   0.253072E+04   0.193522E+02   0.919791E+02
   363   0.250525E+04   0.195030E+02   0.904582E+02
   364   0.248015E+04   0.196514E+02   0.889120E+02
   365   0.245543E+04   0.197973E+02   0.873412E+02
   366   0.243110E+04   0.199405E+02   0.857466E+02
   367   0.240715E+04   0.200812E+02   0.841286E+02
   368   0.238359E+04   0.202190E+02   0.824881E+02
   369   0.236043E+04   0.203543E+02   0.808257E+02
   370   0.233768E+04   0.204866E+02   0.791420E+02
   371   0.231532E+04   0.206161E+02   0.774377E+02
   372   0.229337E+04   0.207426E+02   0.757134E+02
   373   0.227184E+04   0.208662E+02   0.739699E+02
   374   0.225072E+04   0.209868E+02   0.722079E+02
   375   0.223001E+04   0.211043E+02   0.704277E+02
   376   0.220972E+04   0.212186E+02   0.686303E+02
   377   0.218986E+04   0.213297E+02   0.668162E+02
   378   0.217041E+04   0.214376E+02   0.649860E+02
   379   0.215140E+04   0.215421E+02   0.631404E+02
   380   0.213282E+04   0.216432E+02   0.612802E+02
   381   0.211467E+04   0.217410E+02   0.594057E+02
   382   0.209696E+04   0.218351E+02   0.575178E+02
   383   0.207969E+04   0.219258E+02   0.556172E+02
   384   0.206285E+04   0.220129E+02   0.537047E+02
   385   0.204645E+04   0.220965E+02   0.517808E+02
   386   0.203049E+04   0.221765E+02   0.498465E+02
   387   0.201498E+04   0.222529E+02   0.479024E+02
   388   0.199990E+04   0.223258E+02   0.459492E+02
   389   0.198526E+04   0.223950E+02   0.439878E+02
   390   0.197107E+04   0.224606E+02   0.420187E+02
   391   0.195732E+04   0.225226E+02   0.400428E+02
   392   0.194400E+04   0.225807E+02   0.380607E+02
   393   0.193114E+04   0.226352E+02   0.360730E+02
   394   0.191871E+04   0.226860E+02   0.340805E+02
   395   0.190671E+04   0.227328E+02   0.320839E+02
   396   0.189516E+04   0.227760E+02   0.300837E+02
   397   0.188404E+04   0.228152E+02   0.280808E+02
   398   0.187336E+04   0.228506E+02   0.260758E+02
   399   0.186313E+04   0.228822E+02   0.240693E+02
   400   0.185332E+04   0.229099E+02   0.220621E+02
   401   0.184396E+04   0.229337E+02   0.200547E+02
   402   0.183504E+04   0.229536E+02   0.180481E+02
   403   0.182655E+04   0.229697E+02   0.160431E+02
   404   0.181850E+04   0.229818E+02   0.140407E+02
   405   0.181087E+04   0.229900E+02   0.120416E+02
   406   0.180367E+04   0.229943E+02   0.100467E+02
   407   0.179689E+04   0.229947E+02   0.805693E+01
   408   0.179054E+04   0.229910E+02   0.607320E+01
   409   0.178460E+04   0.229835E+02   0.409633E+01
   410   0.177908E+04   0.229720E+02   0.212724E+01
   411   0.177395E+04   0.229566E+02   0.166559E+00
   412   0.176924E+04   0.229372E+02  -0.178480E+01
   413   0.176494E+04   0.229138E+02  -0.372622E+01
   414   0.176103E+04   0.228866E+02  -0.565685E+01
   415   0.175751E+04   0.228555E+02  -0.757599E+01
   416   0.175440E+04   0.228204E+02  -0.948294E+01
   417   0.175167E+04   0.227815E+02  -0.113768E+02
   418   0.174933E+04   0.227387E+02  -0.132569E+02
   419   0.174737E+04   0.226921E+02  -0.151224E+02
   420   0.174580E+04   0.226415E+02  -0.169727E+02
   421   0.174460E+04   0.225871E+02  -0.188070E+02
   422   0.174377E+04   0.225288E+02  -0.206243E+02
   423   0.174332E+04   0.224666E+02  -0.224241E+02
   424   0.174323E+04   0.224006E+02  -0.242055E+02
   425   0.174350E+04   0.223308E+02  -0.259680E+02
   426   0.174413E+04   0.222572E+02  -0.277111E+02
   427   0.174509E+04   0.221799E+02  -0.294343E+02
   428   0.174642E+04   0.220990E+02  -0.311368E+02
   429   0.174807E+04   0.220145E+02  -0.328184E+02
   430   0.175004E+04   0.219264E+02  -0.344782E+02
   431   0.175235E+04   0.218349E+02  -0.361159E+02
   432   0.175497E+04   0.217399E+02  -0.377309E+02
   433   0.175792E+04   0.216415E+02  -0.393225E+02
   434   0.176117E+04   0.215397E+02  -0.408904E+02
   435   0.176474E+04   0.214346E+02  -0.424338E+02
   436   0.176861E+04   0.213261E+02  -0.439523E+02
   437   0.177279E+04   0.212143E+02  -0.454453E+02
   438   0.177726E+04   0.210992E+02  -0.469123E+02
   439   0.178203E+04   0.209810E+02  -0.483526E+02
   440   0.178708E+04   0.208596E+02  -0.497661E+02
   441   0.179241E+04   0.207351E+02  -0.511522E+02
   442   0.179801E+04   0.206075E+02  -0.525105E+02
   443   0.180387E+04   0.204769E+02  -0.538404E+02
   444   0.180998E+04   0.203435E+02  -0.551417E+02
   445   0.181634E+04   0.202070E+02  -0.564139E+02
   446   0.182295E+04   0.200679E+02  -0.576567E+02
   447   0.182978E+04   0.199259E+02  -0.588699E+02
   448   0.183687E+04   0.197813E+02  -0.600533E+02
   449   0.184418E+04   0.196341E+02  -0.612064E+02
   450   0.185171E+04   0.194843E+02  -0.623293E+02
   451   0.185948E+04   0.193321E+02  -0.634216E+02
   452   0.186746E+04   0.191773E+02  -0.644828E+02
   453   0.187566E+04   0.190203E+02  -0.655127E+02
   454   0.188405E+04   0.188611E+02  -0.665106E+02
   455   0.189263E+04   0.186996E+02  -0.674762E+02
   456   0.190139E+04   0.185361E+02  -0.684091E+02
   457   0.191033E+04   0.183705E+02  -0.693089E+02
   458   0.191942E+04   0.182030E+02  -0.701749E+02
   459   0.192866E+04   0.180337E+02  -0.710072E+02
   460   0.193805E+04   0.178626E+02  -0.718054E+02
   461   0.194756E+04   0.176897E+02  -0.725686E+02
   462   0.195723E+04   0.175154E+02  -0.732987E+02
   463   0.196702E+04   0.173396E+02  -0.739942E+02
   464   0.197694E+04   0.171625E+02  -0.746553E+02
   465   0.198698E+04   0.169841E+02  -0.752820E+02
   466   0.199714E+04   0.168046E+02  -0.758747E+02
   467   0.200741E+04   0.166241E+02  -0.764324E+02
   468   0.201778E+04   0.164425E+02  -0.769556E+02
   469   0.202824E+04   0.162601E+02  -0.774441E+02
   470   0.203878E+04   0.160769E+02  -0.778977E+02
   471   0.204938E+04   0.158930E+02  -0.783153E+02
   472   0.206005E+04   0.157085E+02  -0.786982E+02
   473   0.207077E+04   0.155234E+02  -0.790446E+02
   474   0.208153E+04   0.153379E+02  -0.793566E+02
   475   0.209234E+04   0.151520E+02  -0.796324E+02
   476   0.210318E+04   0.149660E+02  -0.798725E+02
   477   0.211406E+04   0.147797E+02  -0.800774E+02
   478   0.212496E+04   0.145934E+02  -0.802470E+02
   479   0.213590E+04   0.144071E+02  -0.803818E+02
   480   0.214684E+04   0.142211E+02  -0.804813E+02
   481   0.215781E+04   0.140351E+02  -0.805457E+02
   482   0.216878E+04   0.138496E+02  -0.805753E+02
   483   0.217974E+04   0.136644E+02  -0.805700E+02
   484   0.219069E+04   0.134797E+02  -0.805301E+02
   485   0.220162E+04   0.132956E+02  -0.804556E+02
   486   0.221252E+04   0.131122E+02  -0.803467E+02
   487   0.222338E+04   0.129295E+02  -0.802034E+02
   488   0.223420E+04   0.127477E+02  -0.800261E+02
   489   0.224498E+04   0.125668E+02  -0.798150E+02
   490   0.225571E+04   0.123870E+02  -0.795703E+02
   491   0.226638E+04   0.122082E+02  -0.792923E+02
   492   0.227700E+04   0.120306E+02  -0.789813E+02
   493   0.228757E+04   0.118542E+02  -0.786375E+02
   494   0.229808E+04   0.116792E+02  -0.782612E+02
   495   0.230851E+04   0.115057E+02  -0.778527E+02
   496   0.231888E+04   0.113336E+02  -0.774121E+02
   497   0.232916E+04   0.111631E+02  -0.769400E+02
   498   0.233936E+04   0.109943E+02  -0.764365E+02
   499   0.234947E+04   0.108272E+02  -0.759020E+02
   500   0.235947E+04   0.106619E+02  -0.753367E+02
   501   0.236937E+04   0.104985E+02  -0.747410E+02
   502   0.237915E+04   0.103372E+02  -0.741155E+02
   503   0.238882E+04   0.101778E+02  -0.734605E+02
   504   0.239837E+04   0.100208E+02  -0.727768E+02
   505   0.240780E+04   0.986605E+01  -0.720648E+02
   506   0.241709E+04   0.971372E+01  -0.713252E+02
   507   0.242626E+04   0.956395E+01  -0.705585E+02
