# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#      k [h/Mpc]           P_cdm          P_vcdm           P_bar          P_vbar         P_total        P_vtotal
       0.0852808      0.00621936      0.00320388      0.00134926       0.0023409      0.00272534      0.00305872
       0.0899715      0.00519615      0.00244461     0.000687482      0.00154117      0.00199438      0.00228826
       0.0949201      0.00427503      0.00180741     0.000274737     0.000959048      0.00140385      0.00165582
        0.100141      0.00347738      0.00130876     8.96851e-05     0.000595403     0.000965514      0.00117776
        0.105649      0.00281317     0.000945034      3.7235e-05     0.000405394      0.00066696     0.000844923
         0.11146      0.00227789     0.000694765     4.46207e-05      0.00033054      0.00047788       0.0006284
         0.11759      0.00185299     0.000526306     0.000102605     0.000318939     0.000361279     0.000490149
        0.124058      0.00151147     0.000406601      0.00020308     0.000321226      0.00028245      0.00039246
        0.130881      0.00122553     0.000308634     0.000270758     0.000288915     0.000214869     0.000305479
         0.13808     0.000975278      0.00021797     0.000222791     0.000202005     0.000146279      0.00021541
        0.145675     0.000754217     0.000135812     9.41552e-05     9.50255e-05     8.17256e-05     0.000128893
        0.153687     0.000567676     7.27503e-05     8.77633e-06     2.40355e-05     3.49875e-05     6.33147e-05
         0.16214     0.000423977     3.52767e-05     3.98915e-06     2.14569e-06     1.17862e-05     2.73875e-05
        0.171058     0.000324299     1.87939e-05     7.85137e-06     3.25828e-07     4.57176e-06     1.39962e-05
        0.180467     0.000259552     1.37453e-05     3.93655e-08     3.20459e-06      3.8537e-06     1.15933e-05
        0.190393      0.00021436     1.23751e-05      1.4214e-05     1.07534e-05     4.79975e-06     1.21116e-05
        0.200865     0.000175019     9.51895e-06     2.08949e-05      1.0248e-05     3.92766e-06     9.63221e-06
        0.211913     0.000136963     4.71684e-06     3.66101e-06     1.88884e-06     1.21699e-06     4.18604e-06
        0.223568     0.000104802     1.43339e-06     1.81654e-06     2.82349e-07     1.95427e-08     8.54627e-07
        0.235865      8.3487e-05     5.70297e-07     3.62174e-06     6.40967e-07     2.89074e-08     2.59763e-07
        0.248838     7.13325e-05     7.85297e-07     2.66626e-08     1.01706e-07     3.20234e-08     6.34623e-07
        0.262525       6.188e-05     1.04045e-06     2.63085e-06     9.77363e-07      2.0911e-07     1.03036e-06
        0.276964      5.1163e-05     5.73246e-07     3.85306e-07     1.08393e-07        4.49e-08     4.75563e-07
