# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#      k [h/Mpc]           P_cdm          P_vcdm           P_bar          P_vbar         P_total        P_vtotal
        0.131817       0.0010989     0.000421914        3.86e-05      0.00022266     0.000323341     0.000399531
        0.138979     0.000892156     0.000319469      5.5391e-05     0.000195562     0.000242425      0.00030595
        0.146529     0.000724357     0.000245022     9.09967e-05     0.000183182     0.000186114     0.000238546
         0.15449     0.000585137      0.00018649     0.000122463     0.000164134     0.000141638     0.000184229
        0.162883     0.000465822     0.000135805     0.000116001     0.000125509     0.000101198     0.000134775
        0.171732     0.000361854     9.07609e-05     6.78688e-05     7.35943e-05     6.38282e-05     8.89939e-05
        0.181062     0.000273324     5.40936e-05      1.8189e-05     2.96683e-05      3.3834e-05     5.13702e-05
        0.190899     0.000202674     2.91177e-05     3.45524e-07     7.61879e-06     1.51005e-05     2.63888e-05
         0.20127     0.000151052     1.55444e-05     1.21963e-06     1.88473e-06     6.55428e-06     1.36164e-05
        0.212205     0.000116068     9.67617e-06      8.5957e-08     2.05119e-06     3.83996e-06     8.67702e-06
        0.223733     9.23586e-05     7.39108e-06     3.23433e-06     4.74045e-06     3.34105e-06     7.10457e-06
        0.235888     7.40713e-05     5.71036e-06     9.32534e-06       6.007e-06     2.84203e-06     5.73918e-06
        0.248704     5.77212e-05     3.41531e-06     4.93929e-06     2.75513e-06     1.47369e-06     3.34728e-06
        0.262216     4.34307e-05     1.35361e-06     1.53576e-08     1.14478e-07      2.8899e-07      1.1715e-06
        0.276461     3.29615e-05      4.4028e-07     1.28688e-06     1.52116e-07     6.91968e-09     3.13579e-07
        0.291481     2.66351e-05     2.99535e-07     2.66854e-07     4.60335e-09      6.8212e-09     2.36936e-07
        0.307317     2.26466e-05     3.92984e-07     5.74045e-07     3.01762e-07     7.84902e-08     3.83485e-07
        0.324013     1.88874e-05     3.19674e-07     7.32177e-07     2.53394e-07     7.05682e-08     3.12819e-07
        0.341616     1.50609e-05     1.09658e-07     1.51474e-08     3.92026e-09     9.25401e-10     8.55272e-08
        0.360175     1.22222e-05     3.76546e-08     2.63135e-07      6.1287e-08     6.41061e-09      2.2693e-08
        0.379743     1.05529e-05     6.07863e-08     6.64762e-09     6.35369e-09     8.48173e-10     5.29699e-08
        0.400374     9.12841e-06     7.24038e-08     1.16729e-07     3.51358e-08     6.72928e-09     6.81501e-08
        0.422125     7.57855e-06     3.07628e-08     7.05202e-09     2.74873e-09      9.3139e-11     2.34097e-08
        0.445059     6.39544e-06     1.84607e-08     2.43173e-08      5.5628e-09     8.84144e-10     1.32674e-08
        0.469238      5.5879e-06     2.74371e-08     1.38171e-08     4.73049e-09     6.39063e-10     2.43737e-08
        0.494731     4.77742e-06     1.93448e-08     5.20577e-10     6.66344e-11     4.75404e-11     1.59256e-08
        0.521609     4.06397e-06      1.1848e-08     4.68349e-09     1.18044e-09     1.75617e-10     8.98186e-09
        0.549947     3.53458e-06     1.35375e-08     1.80223e-09     5.95315e-10     7.52213e-11      1.1516e-08
        0.579825     3.03793e-06     1.00047e-08     2.47675e-11      1.8047e-11     3.80667e-15     8.05969e-09
        0.611326     2.61598e-06     7.97299e-09     1.24146e-10     2.18643e-11     4.81048e-12     6.40888e-09
        0.644538     2.26678e-06     7.38058e-09     1.64386e-10     4.19101e-11     6.70787e-12     6.09999e-09
        0.679555     1.95305e-06     5.65439e-09     7.67704e-11     2.09316e-11     2.82114e-12     4.53669e-09
        0.716474     1.69118e-06     5.04409e-09     2.64913e-11     7.71279e-12     8.84574e-13     4.13628e-09
        0.755399     1.46076e-06     4.08683e-09     8.38922e-12     2.60428e-12     3.57078e-13     3.30466e-09
        0.796438     1.26404e-06     3.51214e-09     2.06827e-12     6.32096e-13     8.00185e-14     2.86317e-09
        0.839708     1.09325e-06     2.93192e-09     1.28478e-14     9.94758e-16     6.02471e-15     2.38068e-09
        0.885328     9.45952e-07      2.4815e-09      1.8823e-14     4.50419e-15     4.35085e-15     2.01762e-09
        0.933426     8.18537e-07     2.09771e-09     1.36294e-15     4.92152e-17     1.37182e-17     1.70542e-09
        0.984138     7.08368e-07     1.77889e-09     4.87028e-16     3.62266e-15     5.16606e-15     1.44683e-09
          1.0376     6.13073e-07     1.51069e-09     1.41236e-14     2.64341e-14     1.18442e-14     1.22941e-09
         1.09398     5.30576e-07     1.27703e-09     1.45486e-14     1.00123e-14     4.05109e-15     1.03911e-09
         1.15341     4.59044e-07     1.06794e-09     4.38568e-15     9.48982e-15     7.35503e-14     8.67874e-10
         1.21607     3.96961e-07      8.8545e-10     1.79382e-14     1.45016e-13     2.56037e-13     7.17922e-10
         1.28214     3.43184e-07     7.40667e-10     1.14358e-13     2.47626e-13      1.9245e-13     5.99824e-10
          1.3518     2.96722e-07      6.2346e-10      1.3275e-13     2.48054e-13     2.52238e-13      5.0472e-10
         1.42524     2.56561e-07      5.2394e-10      1.2221e-13      2.7114e-13     2.10765e-13       4.239e-10
         1.50267     2.21868e-07      4.4319e-10     1.08685e-13     2.35426e-13     2.46555e-13     3.58533e-10
         1.58431     1.91847e-07     3.72185e-10     1.02017e-13     2.83352e-13     2.38698e-13     3.00803e-10
         1.67038     1.65904e-07     3.16692e-10     6.36869e-14     2.01176e-13     2.35101e-13     2.56083e-10
         1.76113     1.43469e-07     2.69957e-10     3.54748e-14      1.3417e-13     1.73366e-13     2.18431e-10
         1.85681     1.24049e-07     2.31049e-10     6.59833e-15      5.8924e-14      1.0247e-13     1.87207e-10
         1.95768     1.07234e-07     1.98006e-10     6.67153e-16     2.06048e-14     5.43347e-14      1.6064e-10
         2.06404     9.26786e-08      1.6992e-10     2.01801e-17     1.23094e-15     3.56457e-14     1.38059e-10
         2.17618     8.00794e-08     1.45514e-10     6.71839e-16      5.3217e-16      2.5851e-16     1.18372e-10
          2.2944     6.91707e-08     1.23034e-10     1.70502e-16     2.19211e-16     1.44547e-15     1.00063e-10
         2.41906     5.97447e-08     1.04561e-10     1.27698e-16     7.88062e-16     6.15664e-15     8.50681e-11
         2.55048     5.15844e-08     8.82634e-11     4.15892e-17     5.81448e-17     9.76644e-15      7.1783e-11
         2.68904     4.45435e-08     7.46833e-11     1.05674e-16     9.23199e-16     1.26953e-15     6.07302e-11
         2.83513     3.84532e-08     6.31646e-11     1.78359e-16     7.93808e-16     6.37892e-17     5.13551e-11
         2.98916     3.31938e-08     5.33074e-11     7.03012e-17     1.07982e-15     4.21523e-16     4.33224e-11
         3.15156     2.86458e-08     4.54053e-11     1.25554e-17     2.36701e-16     3.79538e-16     3.69218e-11
         3.32278     2.47242e-08      3.8551e-11     1.74365e-16     1.33221e-16     2.17479e-16     3.13569e-11
          3.5033     2.13257e-08     3.23543e-11     2.67016e-16     4.58579e-16     2.36627e-16     2.62885e-11
         3.69363     1.84033e-08       2.774e-11     5.21804e-17     8.54944e-17     1.15997e-16     2.25693e-11
          3.8943     1.58702e-08     2.33474e-11      3.0032e-18      1.9859e-17     3.47842e-16     1.89812e-11
         4.10587     1.36888e-08     1.97985e-11       2.203e-17     4.60761e-18     2.26958e-17     1.60975e-11
         4.32893     1.18036e-08     1.67945e-11     8.47293e-19     3.06819e-18     2.47222e-17     1.36568e-11
         4.56412     1.01773e-08     1.42103e-11     6.75967e-19     4.04021e-19     5.42027e-17     1.15536e-11
         4.81208     8.77346e-09     1.20504e-11     3.03001e-18     2.40782e-19     1.61914e-17     9.79833e-12
         5.07351     7.56314e-09     1.02199e-11     1.99413e-18     2.64534e-18     1.65029e-17     8.31067e-12
         5.34914     6.51705e-09     8.62123e-12     2.39835e-18     6.37006e-18     4.41467e-18     7.00764e-12
         5.63975     5.62139e-09     7.46757e-12      2.8769e-16     4.48784e-16     1.96818e-16     6.08198e-12
         5.94615     4.84485e-09      6.2524e-12     3.63912e-16     9.05006e-18     1.09945e-15     5.08502e-12
          6.2692      4.1738e-09     5.31993e-12     2.04683e-16     4.48288e-17     3.48744e-16     4.32848e-12
         6.60979     3.59555e-09     4.46695e-12     1.16404e-16     6.42765e-18     8.21357e-17     3.63045e-12
         6.96889     3.09662e-09     3.78436e-12      3.5147e-17     6.50706e-17     1.11987e-18     3.07556e-12
          7.3475     2.66717e-09     3.22862e-12     2.99692e-17     1.93048e-19     1.02768e-16     2.62566e-12
